qbo_account_name,template_label
1260 Payroll Advances/Bonuses,Payroll Advances/Bonuses
chase checking 8578,Cash in Banks
accounts receivable,Total Accounts Receivable
outsourced repair clearing account,Work-in-Process — Sublet
undeposited funds,Other Assets
1 undeposited funds mit,Other Assets
2 undeposited funds tracs,Other Assets
cash checks deposit in transit,Other Assets
credit cards ach deposit in transit,Other Assets
accounts payable,Accounts Payable
chase credit card 7254,Other Current Liabilities
great american loan 1 058 32 st,Long Term Debt — (Current Portion)
td auto finance 1 485 11 st,Long Term Debt — (Current Portion)
direct deposit liabilities,Accrued Payroll Payable
ford f350 loan 1 581 45 st,Long Term Debt — (Current Portion)
suta futa,Accrued Payroll Taxes Payable
city state b and o taxes,Accrued Sales Tax Payable
accrued revenue tax interest payable,Accrued Sales Tax Payable
colorado waste tire fee payable,Accrued Sales Tax Payable
accrued insurance payroll payable,Accrued Insurance Payable
accrued payroll,Accrued Payroll Payable
retirement plan payable,Accrued Payroll Payable
accrued expenses,Other Current Liabilities
payroll liabilities,Accrued Payroll Payable
co unemployment tax,Accrued Payroll Taxes Payable
federal unemployment 940,Accrued Payroll Taxes Payable
notes payable stockholders,Notes Payable — Officers/Stockholders
notes payable stockholders interest,Notes Payable — Officers/Stockholders
notes payable stockholders payments,Notes Payable — Officers/Stockholders
notes payable stockholders accum interest,Notes Payable — Officers/Stockholders
great american loan 1 058 32 lt,Notes Payable
td auto finance 1 485 11 lt,Notes Payable
ford f350 loan 1 581 45 lt,Notes Payable
inventory asset,Inventory — Parts
notes receivable long term,Notes Receivable — Long Term
accounts receivable employees,Accounts Receivable — Employees
accrued revenue tax payable,Accrued Sales Tax Payable
accrued insurance payable,Accrued Insurance Payable
accrued payroll payable,Accrued Payroll Payable
accrued property tax payable,Accrued Property Tax Payable
bankcard services,Bankcard Services
insurance liability,Insurance — Liability
cash on hand,Cash on Hand
03 pnc checking x6195 auto repair,Cash in Banks
04 pnc savings x0783,Cash in Banks
05 pnc checking x0767,Cash in Banks
06 pnc checking x0775,Cash in Banks
01 asset offset s b 0,Other Current Assets
99 undistributed s b 0,Other Current Assets
erc credit receivable,Other Current Assets
leasehold improvements,Employee Benefits
1 accum depreciation leasehold improvements,Net Fixed Assets (after depreciation)
computer equipment,Net Fixed Assets (after depreciation)
1 accum depreciation computer equipment,Net Fixed Assets (after depreciation)
office furniture equipment,Net Fixed Assets (after depreciation)
1 accum depreciation office furniture equipment,Net Fixed Assets (after depreciation)
shop equipment tools,Net Fixed Assets (after depreciation)
customer deposits,Customer Deposits
garnishments,Other Current Liabilities
pnc line of credit x1254,Other Current Liabilities
pnc line of credit x0921,Other Current Liabilities
20 american express x2001,Other Current Liabilities
10 chase parent account x4956,Other Current Liabilities
1 accum depreciation organization and start up cost,Net Fixed Assets (after depreciation)
organization and start up cost,Net Fixed Assets (after depreciation)
1 accum depreciation goodwill,Net Fixed Assets (after depreciation)
goodwill,Net Fixed Assets (after depreciation)
1 accum depreciation covenant not to compete,Net Fixed Assets (after depreciation)
1 accum depreciation vehicles,Net Fixed Assets (after depreciation)
covenant not to compete,Net Fixed Assets (after depreciation)
vehicles,Net Fixed Assets (after depreciation)
1 accum depreciation shop equipment tools,Net Fixed Assets (after depreciation)
dividends,IT Services
accumulated adjustment account,Sales Discounts/Adjustments/Refunds
issued capital stock,Salaries — Clerical-Office
ondeck capital loan 2 423 85 lt,Notes Payable
snap on alignment machine loan 1 056 36 lt,Notes Payable
