qbo_account_name,template_label
1260 Payroll Advances/Bonuses,Payroll Advances/Bonuses
chase checking 8578,Cash in Banks
accounts receivable,Total Accounts Receivable
outsourced repair clearing account,Work-in-Process — Sublet
undeposited funds,Other Assets
1 undeposited funds mit,Other Assets
2 undeposited funds tracs,Other Assets
cash checks deposit in transit,Other Assets
credit cards ach deposit in transit,Other Assets
accounts payable,Accounts Payable
chase credit card 7254,Other Current Liabilities
great american loan 1 058 32 st,Long Term Debt — (Current Portion)
td auto finance 1 485 11 st,Long Term Debt — (Current Portion)
direct deposit liabilities,Accrued Payroll Payable
ford f350 loan 1 581 45 st,Long Term Debt — (Current Portion)
suta futa,Accrued Payroll Taxes Payable
city state b and o taxes,Accrued Sales Tax Payable
accrued revenue tax interest payable,Accrued Sales Tax Payable
colorado waste tire fee payable,Accrued Sales Tax Payable
accrued insurance payroll payable,Accrued Insurance Payable
accrued payroll,Accrued Payroll Payable
retirement plan payable,Accrued Payroll Payable
accrued expenses,Other Current Liabilities
payroll liabilities,Accrued Payroll Payable
co unemployment tax,Accrued Payroll Taxes Payable
federal unemployment 940,Accrued Payroll Taxes Payable
notes payable stockholders,Notes Payable — Officers/Stockholders
notes payable stockholders interest,Notes Payable — Officers/Stockholders
notes payable stockholders payments,Notes Payable — Officers/Stockholders
notes payable stockholders accum interest,Notes Payable — Officers/Stockholders
great american loan 1 058 32 lt,Notes Payable
td auto finance 1 485 11 lt,Notes Payable
ford f350 loan 1 581 45 lt,Notes Payable
notes receivable long term,Notes Receivable — Long Term
inventory asset,Inventory — Parts
accounts receivable employees,Accounts Receivable — Employees
accrued revenue tax payable,Accrued Sales Tax Payable
accrued interest payable,Accrued Interest Payable
accrued payroll payable,Accrued Payroll Payable
accrued insurance payable,Accrued Insurance Payable
accrued payroll taxes payable,Accrued Payroll Taxes Payable
accrued property tax payable,Accrued Property Tax Payable
bankcard services,Bankcard Services
insurance liability,Insurance — Liability
insurance liability insurance,Insurance — Liability
